time,CE Model,CE & ET Model
2052.0,35.17880173933079,30.433680381008564
2052.5,35.393447334875574,31.092728621989295
2053.0,35.59241061068511,31.743986108624924
2053.5,35.777160713127486,32.381941314483385
2054.0,35.94915825945755,33.0023162106688
2054.5,36.10978979708083,33.6024823024966
2055.0,36.2603304121026,34.18131651604911
2055.5,36.40192539663836,34.7388563879231
2056.0,36.535585598101086,35.27593039566905
2056.5,36.66219182697254,35.79383891035276
2057.0,36.78250468933508,36.29410916917678
2057.5,36.897177156822345,36.77832297741373
2058.0,37.006768013251005,37.24801013405329
2058.5,37.11175500836032,37.704595007008415
2059.0,37.212547042068145,38.14936423189188
2059.5,37.30948508104742,38.5834560455428
2060.0,37.402848264779806,39.007861528795765
2060.5,37.49286493002526,39.423409174064275
2061.0,37.579724156750046,39.83077508386989
2061.5,37.66358591562298,40.23050574217638
2062.0,37.744589032664145,40.62304177254713
2062.5,37.822857168465276,41.00873929499769
2063.0,37.89850312596607,41.38788823508723
2063.5,37.97165719517074,41.760726294145144
2064.0,38.04249059934442,42.12743479633582
2064.5,38.11120930309076,42.488147309531385
2065.0,38.17803244436651,42.842962074133446
2065.5,38.24317476053989,43.19195247863001
2066.0,38.306815067927104,43.53517740554679
2066.5,38.369080371842934,43.87268944303635
2067.0,38.43005001242593,44.20454017633711
2067.5,38.48976702811188,44.53078338582952
2068.0,38.548250417297005,44.85147679296845
2068.5,38.60550561366611,45.16667224605445
2069.0,38.66153223888125,45.47641333105884
2069.5,38.71632919924873,45.780737729394275
2070.0,38.769897755474666,46.07968093888609
2070.5,38.822243113790755,46.37327972561901
2071.0,38.87337500417188,46.66157470765634
2071.5,38.923307607170564,46.94461198094134
2072.0,38.97205909681113,47.22244391727985
2072.5,39.01965098848411,47.4951293371286
2073.0,39.06610741889047,47.76273327210062
2073.5,39.11145443851785,48.025326486272874
2074.0,39.155719363466076,48.282984884140326
2074.5,39.198930209832405,48.53578885882197
2075.0,39.241115204808565,48.78382899534321
2075.5,39.2823023835785,49.027215322153495
2076.0,39.322519274517894,49.26607631624732
2076.5,39.36179266550962,49.50055329661371
2077.0,39.40014848945791,49.730794394478885
2077.5,39.43761173813477,49.956949578281794
2078.0,39.4742060668947,50.179166970862745
2078.5,39.50995388729256,50.39759082872346
2079.0,39.544876623944,50.612366299050315
2079.5,39.57899491543583,50.823639022944676
2080.0,39.61232875151227,51.031552948621325
2080.5,39.64489755851541,51.23624800426134
2081.0,39.67672026323531,51.43785827391992
2081.5,39.707815298702144,51.63651083713483
2082.0,39.73820054567639,51.832316574914714
2082.5,39.76789324770003,52.02536477105073
2083.0,39.79690994763099,52.2209060876904
2083.5,39.82526645753474,52.43880472010238
2084.0,39.85297789737868,52.69788808718834
2084.5,39.880058798148056,53.00976276296052
2085.0,39.906523200691026,53.37815363702242
2085.5,39.93238473436083,53.800329478821936
2086.0,39.95765667538716,54.269131990814365
2086.5,39.98235198844153,54.77499566961076
2087.0,40.00648335546925,55.307808775328894
2087.5,40.03006319536561,55.85787957299922
2088.0,40.05310367728988,56.41645331969419
2088.5,40.07561672966703,56.97593056373672
2089.0,40.0976140463585,57.529911399697816
2089.5,40.119107091082846,58.07314173549191
2090.0,40.14010710073198,58.601409991987175
2090.5,40.16062508797712,59.111426436389024
2091.0,40.18067184341426,59.60071765381839
2091.5,40.20025793723172,60.06755300516233
2092.0,40.2193937205893,60.5108775650366
2092.5,40.23808933493192,60.930237114036565
2093.0,40.25635482571167,61.32569420706984
2093.5,40.27420015555661,61.697738818084545
2094.0,40.29163517654561,62.047198239454815
2094.5,40.30866959180807,62.37515074414881
2095.0,40.3253129202757,62.68284600349595
2095.5,40.34157446976473,62.971634121635425
2096.0,40.357463319256006,63.242904338501226
2096.5,40.37298830930824,63.49803375646926
2097.0,40.38815804681578,63.73836756780877
2097.5,40.40298092014959,63.96519922470115
2098.0,40.41746511304683,64.17974054028066
2098.5,40.43161861414596,64.38318032070403
2099.0,40.4454492225403,64.57689609867472
2099.5,40.458964550711855,64.76269128681581
2100.0,40.472172026174924,64.94263703419585
